aircraft_model;Manufacturer;Engines;Wingspan__ft;Length__ft;Tail_Height__ft;Wheelbase__ft;Wake_Category
100;Fokker;2;82.76111111;92.24652778;27.99305556;31.94166667;M
328;Fairchild Dornier;2;90.94444444;72.56030644;25.56666667;35.87548988;M
340;Cessna;2;38.10833333;43.33333333;12.58333333;18.06556373;L
407;Bell Helicopter;2;74.39455329;72.56030644;22.43255858;35.87548988;L
2000;Saab;2;74.39455329;72.56030644;22.43255858;35.87548988;L
146-100;BAe;2;74.39455329;72.56030644;22.43255858;35.87548988;M
146-200;BAe;2;74.39455329;72.56030644;22.43255858;35.87548988;M
200 SUPER KINGAIR;Beechcraft;2;54.5;43.75;15;15;L
214 ST;Bell Helicopter;2;74.39455329;72.56030644;22.43255858;35.87548988;M
328JET;Dornier;2;62.25;62;19.54166667;35.87548988;M
A109;Agusta / AgustaWestland;2;74.39455329;72.56030644;22.43255858;35.87548988;L
A310-300;Airbus;2;144.0291667;153.1583333;52.06;49.93333333;H
A318;Airbus;2;111.88;103.18;42.29;33.63;M
A319;Airbus;2;111.88;111.02;39.73;36.23;M
A320 NEO;Airbus;2;117.45;123.27;39.63;41.47;M
A320-100/200;Airbus;2;111.88;123.27;39.63;41.47;M
A321-100/200;Airbus;2;111.88;146.03;39.7;55.45;M
A321-200;Airbus;2;111.88;146.03;39.7;55.45;M
A321-251NX;Airbus;2;117.45;146.03;39.7;55.45;M
A330-200;Airbus;2;197.83;193.57;59.81;72.77;H
A330-300;Airbus;2;197.83;208.99;56.36;83.27;H
A340-200;Airbus;4;197.83;194.95;55.86;76.25;H
A340-300;Airbus;4;197.83;208.96;55.72;83.27;H
A340-500;Airbus;4;208.17;222.87;57.51;90.48;H
A340-600;Airbus;4;208.17;247.24;58.84;107.87;H
A350-900;Airbus;2;212.4166667;219.16;57.31;94.045;H
A380-800;Airbus;4;261.65;238.62;78.96;93.86;H
A400M;Airbus;4;139.0833333;148;48.25;64.72570175;M
AEROSPATIALE AS355 ECUREUIL 2 (TWIN SQ.);Aerospatiale / SNIAS;2;74.39455329;72.56030644;22.43255858;35.87548988;L
AN-124 Ruslan;Antonov;3;240.5;92.10333333;69.17;26.64583333;H
ATR 42-500;ATR (Aérospatiale/Alenia);2;80.58333333;74.41666667;24.91666667;28.83333333;M
ATR 72-500;ATR (Aérospatiale/Alenia);2;88.75;89.125;25.08333333;35.33333333;M
AW139;Agusta / AgustaWestland;2;74.39455329;72.56030644;22.43255858;35.87548988;L
B 95 TRAVEL AIR;Beechcraft;2;37.83333333;25.91666667;9.5;14.61916667;L
B737-300;Boeing;2;94.75;109.5833333;36.33333333;40.83333333;M
B737-300 Freighter;Boeing;2;102.0833333;109.5833333;36.5;40.83333333;M
B737-400;Boeing;2;94.75;119.5833333;36.33333333;46.83333333;M
B737-500;Boeing;2;94.75;101.75;36.33333333;36.33333333;M
B737-600;Boeing;2;112.5833333;102.5;41.66666667;36.83333333;M
B737-700;Boeing;2;112.5833333;110.3333333;41.58333333;41.33333333;M
B737-700 WINGLETS;Boeing;2;117.4166667;110.3333333;41.58333333;41.33333333;M
B737-8 MAX;Boeing;2;117.8333333;129.5;41.41666667;51.16666667;M
B737-800;Boeing;2;112.5833333;129.5;41.41666667;51.16666667;M
B737-800 WINGLETS;Boeing;2;117.4166667;129.5;41.41666667;51.16666667;M
B737-900ER;Boeing;2;112.5833333;138.1666667;41.41666667;56.33333333;M
B747-400 Passenger;Boeing;4;195.6666667;231.8333333;64.66666667;84;H
B757-200 Passenger;Boeing;2;124.8333333;155.25;45.08333333;60;M
B757-200 WINGLETS;Boeing;2;134.75;155.25;45.08333333;60;M
B757-300;Boeing;2;124.8333333;178.5833333;44.75;73.33333333;M
B767-200;Boeing;2;156.0833333;159.1666667;52.91666667;64.58333333;H
B767-300;Boeing;2;156.0833333;180.25;52.58333333;74.66666667;H
B767-300ER;Boeing;2;156.0833333;180.25;52.58333333;74.66666667;H
B777-200;Boeing;2;199.9166667;209.0833333;61.5;84.91666667;H
B777-200 Freighter;Boeing;2;199.9166667;209.0833333;61.5;84.91666667;H
B777-200ER;Boeing;2;199.9166667;209.0833333;61.5;84.91666667;H
B777-200LR;Boeing;2;212.5833333;209.0833333;61.5;84.925;H
B777-300ER;Boeing;2;212.5833333;242.3333333;61.83333333;102.4416667;H
B787-800 Dreamliner;Boeing;2;197.25;186.0833333;56.08333333;74.75;H
B787-900;Boeing;2;197.25;206.0833333;56.08333333;84.75;H
BAE125-1000/RAYTHEON 1000;Hawker Beechcraft;2;47;50.5;17.25;22.725;M
BD500 1A10;Bombardier;2;94;99.41666667;25.5;49.70833333;M
BD700 1A10 GLOBAL EXPRESS;Bombardier;2;94;99.41666667;25.5;49.70833333;M
BD700 1A11 GLOBAL EXPRESS;Bombardier;2;94;96.83333333;25.5;48.41666667;M
BEECHJET 400;Beechcraft;2;43.5;48.41666667;13.91666667;19.25;M
BN-2A ISLANDER;Britten-Norman;3;53;49.25;14.16666667;13;L
BOMBARDIER CS300;Bombardier;2;63.83333333;68.75;20.33333333;27.75;M
C 180 SKYWAGON;Cessna;1;35.83333333;25.625;7.75;18.06556373;L
C 310;Cessna;2;36.91666667;32;10.58333333;18.06556373;L
C 401/402/411/421;Cessna;2;44.16666667;36.41666667;11.5;18.06556373;L
C 510 MUSTANG;Cessna;2;43.16666667;40.58333333;13.41666667;14.33333333;L
C 550 CITATION II / BRAVO;Cessna;2;52.16666667;47.20833333;15;18.5;L
C 560 CITATION V Ultra;Cessna;2;52.16666667;48.89583333;15;19.89583333;M
C 650 CITATION III/VI/VII;Cessna;2;53.5;55.5;17.25;21.33333333;M
C-17 GLOBEMASTER III;Boeing;3;151.5043478;170.420709;48.92916667;66.81405473;H
CHALLENGER 300;Bombardier;2;63.83333333;68.75;20.33333333;27.75;M
CITATION 1 (C500);Cessna;2;47.08333333;43.6;14.4;17.83333333;L
CITATION 560 XL;Cessna;2;56.33333333;52.5;17.16666667;21.91666667;M
CITATION 680 SOVEREIGN;Cessna;2;63.33333333;63.5;20.33333333;27.58333333;M
CITATION V;Cessna;2;52.16666667;48.89583333;15;19.89583333;M
CITATION X (C750);Cessna;2;63.58333333;72.33333333;19.25;28.66666667;M
CITATIONJET (C 525);Cessna;2;46.91666667;42.58333333;13.77083333;15.33333333;L
CL 600/601/604 CHALLENGER;Bombardier;2;64.33333333;68.41666667;20.66666667;26.20833333;M
CL-44;Canadair;4;142.3;72.56030644;38.4;35.87548988;M
DASH 8 - 300;Bombardier (De Havilland Canada (DHC));2;90;84.25;24.58333333;32.83333333;M
DASH 8-Q400;Bombardier (De Havilland Canada (DHC));2;93.25;107.75;27.41666667;45.75;M
DIAMOND DA 42;Diamond;2;44.5;28.08333333;8.166666667;35.87548988;L
EC 120;Eurocopter;2;74.39455329;72.56030644;22.43255858;35.87548988;L
EC 135T;Eurocopter;2;74.39455329;72.56030644;22.43255858;35.87548988;L
EC 155B;Eurocopter;2;74.39455329;72.56030644;22.43255858;35.87548988;L
EMB-135;Embraer;2;65.75;86.41666667;22.16666667;40.75;M
EMB-145;Embraer;2;65.75;98;22.16666667;47.41666667;M
EMB-170;Embraer;2;85.33333333;98.08333333;32.25;34.83333333;M
EMB-500 PHENOM 100;Embraer;2;40.33333333;42.08333333;14.25;16.83333333;L
EMBRAER E75;Embraer;2;85.33333333;103.9166667;32.33333333;37.41666667;M
ERJ-190;Embraer;2;94.25;118.9166667;34.58333333;45.33333333;M
ERJ-195;Embraer;2;94.25;126.8333333;34.58333333;48.03333333;M
F 50;Fokker;2;82.76111111;92.24652778;27.99305556;31.94166667;M
F406;Cessna;2;44.79853286;38.51431925;12.34724178;18.06556373;L
FALCON 2000;Dassault Aviation;2;63.41666667;66.33333333;23.16666667;24.25833333;M
FALCON 7X;Dassault Aviation;3;86;76.08;25.67;24.96904762;M
FALCON 900 & 900EX;Dassault Aviation;3;63.41666667;66.33333333;24.79166667;25.91666667;M
G II;Glasair Aviation (Stoddard-Hamilton Aircraft);1;23.25;20.66666667;6.895833333;35.87548988;L
G III;Glasair Aviation (Stoddard-Hamilton Aircraft);1;23.25;21.33333333;7.166666667;35.87548988;L
G IV / IV-SP;Glasair Aviation (Stoddard-Hamilton Aircraft);1;35;22;7;35.87548988;L
G V;Glasair Aviation (Stoddard-Hamilton Aircraft);1;35;22;7;35.87548988;L
G200 (IAI GALAXY);Gulfstream Aerospace Corp.;2;58.08333333;62.25;21.41666667;24.25;M
Hawker 4000;Hawker Beechcraft;2;61.75;69.16666667;19.58333333;20.56666667;M
HAWKER 850XP/950XP;Hawker Beechcraft;2;54.33333333;51.16666667;18.08333333;20.56666667;M
Helicopter;Airbus;2;159.0704472;171.9399187;51.03276423;64.72570175;L
HS 125;Hawker-Siddeley;2;47;72.56030644;17.6;35.87548988;M
IL-76 Freighter;Ilyushin;2;165.7;72.56030644;48.4;35.87548988;H
IL-96-300;Ilyushin;2;138.38;72.56030644;40.9;35.87548988;H
Jet;Aero Commander Aircraft;2;44.79166667;55.58333333;15.79166667;16.26966667;M
JETSTREAM 41;BAe;2;74.39455329;72.56030644;22.43255858;35.87548988;M
L-100 HERCULES(C130) Freighter;Lockheed;2;132.5833333;105.25;39.3;28.3125;M
LEARJET 35A/36A;Bombardier;2;39.5;48.66666667;12.25;25;M
LEARJET 45;Bombardier;2;47.83333333;58;14.08333333;25;M
LEARJET 55 LONGHORN;Bombardier;2;43.83333333;55.08333333;14.66666667;25;M
LEARJET 60;Bombardier;2;43.75;58.66666667;14.66666667;25;M
MD-82;Boeing (McDonnell Douglas);2;107.85;147.8333333;30.16666667;72.425;M
MD-83;Boeing (McDonnell Douglas);2;107.85;147.8333333;30.16666667;72.425;M
MERLIN IV A;Fairchild;2;74.39455329;72.56030644;22.43255858;35.87548988;L
METRO 23;Swearingen;2;74.39455329;72.56030644;22.43255858;35.87548988;L
P.180 AVANTI;Piaggio Aero;2;46.04166667;47.27083333;13.08333333;9.333333333;L
PA-24 COMANCHE;Piaggio Aero;2;46.04166667;47.27083333;13.08333333;9.333333333;L
PA-30 / PA-39 TWIN COMANCHE;Piper;1;36.98120915;28.66828023;9.941176471;8.291118421;M
PC-12;Pilatus;1;53.33333333;47.25;14;11.41666667;L
PREMIER 1;Beechcraft;2;44.5;46;15.33333333;17.58333333;L
PROP;Aero Commander Aircraft;2;52.1225;42.97666667;14.94583333;17.79166667;L
REGIONAL JET;Canadair;4;142.3;72.56030644;38.4;35.87548988;M
REGIONAL JET 100/200;Canadair;4;142.3;72.56030644;38.4;35.87548988;M
REGIONAL JET 700;Canadair;4;142.3;72.56030644;38.4;35.87548988;M
REGIONAL JET 900;Canadair;4;142.3;72.56030644;38.4;35.87548988;M
RJ100/115;BAe;2;74.39455329;72.56030644;22.43255858;35.87548988;M
RJ85;BAe;2;74.39455329;72.56030644;22.43255858;35.87548988;M
S-76;Sikorsky;2;46;51.75;9.5;12.16666667;M
SA 365 DAUPHIN 2;Aerospatiale / SNIAS;2;74.39455329;72.56030644;22.43255858;35.87548988;L
SA-227 METRO 23;Swearingen;2;74.39455329;72.56030644;22.43255858;35.87548988;L
SA-227 METRO III;Swearingen;2;74.39455329;72.56030644;22.43255858;35.87548988;L
SUPERJET100-95B;Komsomolsk-on-Amur Aircraft Production Association;2;74.39455329;72.56030644;22.43255858;35.87548988;M
TBM 700;Daher-Socata;1;41.60416667;34.91666667;14.27083333;9.541666667;L
Twin Prop;Aero Commander Aircraft;2;46.55;44.35416667;14.94583333;17.79166667;L